Study_ID,Year,Title,Venue,Publication_Type,Clinical_Domain,Clinical_Task,Task_Type,Model_Name,Model_Era,Open_or_Closed,Data_Source,Dataset_Name,Study_Design,External_Validation,Code_Available,Weights_Available,Data_Available,DOI_or_URL,Coding_Confidence,Primary_Paradigm,Fusion_Stage,RAG,Agent_or_Tool_Use,Personalization_Level,Retrieval_Type,Agentic_Reasoning,Risk_Mitigation_Evidence,Translational_Evidence_Level
S116,2026,Prompt injection attacks on vision-language models for surgical decision support,npj Digital Surgery,Journal,Surgery / VLM Security,Textual and visual prompt-injection attacks on surgical video decision support,Video VQA / security / robustness,Surgical VLM prompt-injection study,MLLM,Mixed,Private,100 curated surgical video clips across 8 decision-support tasks,Controlled multimodal adversarial study,No,NR,NR,Private,https://doi.org/10.1038/s44484-026-00014-6,High,Multimodal LLMs,F3,No,No,P0,None,NR,R3,T0
S117,2026,MPIB: A Benchmark for Medical Prompt Injection Attacks and Clinical Safety in LLMs,arXiv,Preprint,Medical Security / Prompt Injection,Direct and indirect RAG-mediated prompt-injection safety evaluation,Security benchmark / clinical harm evaluation,MPIB,Reasoning-Agentic,Open,Public,"9,697 clinically grounded benchmark instances across explanation, dosing, triage, and guideline reasoning",Benchmark and defense-harness study,No,Yes,NR,Public,https://arxiv.org/abs/2602.06268,High,Reasoning / agentic systems,F0,Yes,Yes,P1,RAG,NR,R3,T0
S118,2026,Learning to Diagnose Privately: DP-Powered LLMs for Radiology Report Classification,arXiv,Preprint,Radiology Reports / Privacy,Differentially private LoRA fine-tuning for multi-abnormality classification from radiology reports,Classification / privacy-preserving fine-tuning,DP-LoRA,Generative LLM,Open,Public,MIMIC-CXR; CT-RATE,Two-dataset privacy–utility experiment,No,NR,NR,Restricted,https://arxiv.org/abs/2506.04450,High,Generative LLMs,F0,No,No,P0,None,NR,R3,T0
S119,2026,MedPriv-Bench: Benchmarking the Privacy-Utility Trade-off of Large Language Models in Medical Open-End Question Answering,arXiv,Preprint,Medical QA / Privacy,Contextual privacy leakage and privacy–utility trade-off in medical open-ended QA,QA / privacy benchmark,MedPriv-Bench,Generative LLM,Mixed,Public,Synthetic sensitive medical contexts and queries; 9 representative LLMs,Privacy benchmark with multi-agent human-in-the-loop construction,No,NR,NR,Public,https://arxiv.org/abs/2603.14265,High,Generative LLMs,F1,No,Yes,P1,RAG,NR,R3,T0
S120,2025,Use of an AI Scribe and Electronic Health Record Efficiency,JAMA Network Open,Journal,Ambulatory Care / Ambient AI,EHR efficiency after AI-scribe deployment,Documentation / retrospective controlled implementation,Abridge AI scribe,Generative LLM,Closed,Private,125 AI-scribe users and 478 covariate-balanced nonusers,Retrospective cohort with pre-post and propensity-score analyses,No,NR,NR,Private,https://doi.org/10.1001/jamanetworkopen.2025.37000,High,Generative LLMs,F1,No,No,P1,None,NR,R3,T4
S121,2025,How to Train Private Clinical Language Models: A Comparative Study of Privacy-Preserving Pipelines for ICD-9 Coding,EurIPS Privacy-Preserving Machine Learning Workshop / arXiv,Conference,Clinical Coding / Privacy,Comparison of privacy-preserving training pipelines for ICD-9 coding,Classification / differential privacy,Private clinical LM pipelines,Generative LLM,Open,Public,Hospital discharge summaries for ICD-9 coding,Matched privacy-budget head-to-head comparison of 4 pipelines,No,NR,NR,Restricted,https://arxiv.org/abs/2511.14936,High,Generative LLMs,F0,No,No,P0,None,NR,R3,T0
S122,2026,Memorization in large language models in medicine prevalence characteristics and implications,Nature Communications,Journal,Medical Foundation Models / Privacy,Quantification of verbatim and task-specific memorization after continued pretraining and fine-tuning,Memorization / privacy risk / model adaptation,Medical LLM memorization study,Generative LLM,Open,Public,Clinical guidelines; MIMIC-III; PMC full text; MEDLINE; medical task datasets,Multi-model empirical memorization study,No,Yes,NR,Public,https://doi.org/10.1038/s41467-026-73779-6,High,Generative LLMs,F0,No,No,P0,None,NR,R3,T0
S123,2025,MEDEQUALQA: Evaluating Biases in LLMs with Counterfactual Reasoning,aclanthology,Conference,Medical QA / Fairness,Counterfactual reasoning stability under pronoun changes,QA / reasoning fairness benchmark,MEDEQUALQA,Generative LLM,Closed,Public,"~69,000 counterfactual vignette items derived from pronoun variants and critical-symptom ablations",Counterfactual benchmark study,No,NR,NR,Public,https://arxiv.org/abs/2510.12818,High,Generative LLMs,F0,No,No,P1,None,NR,R3,T0
S124,2026,"A Multi-Domain Red Teaming Framework for Safety, Robustness, and Fairness Evaluation of Medical Large Language Models",Text2Story 2026 Workshop / arXiv,Conference,General Clinical Safety / Red Teaming,"Adversarial stress testing across safety, fairness, privacy, robustness, and ethical domains",Red teaming / safety benchmark,Multi-domain red-team framework,Generative LLM,Mixed,Public,690 clinically grounded scenarios across 9 domains and >150 subcategories; 11 LLMs,Multi-domain adversarial benchmark with human-in-the-loop validation,No,NR,NR,Public,https://arxiv.org/abs/2606.00027,High,Generative LLMs,F0,No,No,P1,None,NR,R3,T0
S125,2026,Large language models provide unsafe answers to patient-posed medical questions,npj Digital Medicine,Journal,Primary Care / Patient-Facing Safety,Safety of public LLM chatbots on patient-posed medical advice questions,Patient QA / red teaming / safety,HealthAdvice benchmark,Generative LLM,Mixed,Public,"222 patient-posed questions; 888 responses across Claude, Gemini, GPT-4o, and Llama",Physician-led red-teaming study,No,NR,NR,Public,https://doi.org/10.1038/s41746-026-02428-5,High,Generative LLMs,F0,No,No,P0,None,NR,R4,T0
S126,2026,Benchmarking large language model-based agent systems for clinical decision tasks,npj Digital Medicine,Journal,Clinical Agents / Safety,"Benchmarking agentic clinical systems, tools, hallucinations, and safeguards",Agentic diagnosis / QA / multimodal reasoning,OpenManus / Manus,Reasoning-Agentic,Mixed,Public,AgentClinic; MedAgentsBench; Humanity's Last Exam,Multi-benchmark agent-system evaluation,No,NR,NR,Public,https://doi.org/10.1038/s41746-026-02443-6,High,Reasoning / agentic systems,F5,Yes,Yes,P4,Agentic retrieval,Yes,R3,T0
S127,2026,"Generative AI-enabled clinical decision support system in primary care: a pragmatic, cluster-randomized trial",Nature Medicine,Journal,Primary Care / LMIC,Real-time LLM-assisted diagnosis and treatment planning in primary care,Clinical decision support / pragmatic RCT,AI Consult 2.0,Generative LLM,Closed,Private,"16 Penda Health primary-care facilities; 9,691 enrolled patients",Pragmatic multicenter cluster-randomized controlled trial,No,NR,NR,Private,https://doi.org/10.1038/s41591-026-04503-6,High,Generative LLMs,F1,No,No,P4,None,NR,R5,T5
S128,2026,An LLM chatbot to facilitate primary-to-specialist care transitions: a randomized controlled trial,Nature Medicine,Journal,Primary-to-Specialist Care / Referral,"Patient-facing history taking, preliminary diagnosis, testing, and referral preparation",Clinical consultation / workflow RCT,PreA,Reasoning-Agentic,Closed,Private,"2 academic tertiary health centers; 2,069 patients; 111 specialists across 24 disciplines",Multicenter randomized controlled trial,No,NR,NR,Private,https://doi.org/10.1038/s41591-025-04176-7,High,Reasoning / agentic systems,F0,No,Yes,P4,None,Yes,R5,T4
S129,2026,Development and prospective shadow evaluation of a domain-specific large language model for emergency neurological diagnosis,npj Digital Medicine,Journal,Emergency Neurology,Emergency neurologic diagnosis and management recommendations,Diagnosis / shadow-mode decision support,Xuanwu-NeuroAid,Generative LLM,Open,Private,Prospective emergency neurology cohort; 433 included patients,Prospective non-interventional shadow-mode evaluation,No,NR,NR,Private,https://doi.org/10.1038/s41746-026-02644-z,High,Generative LLMs,F1,No,No,P1,None,NR,R0,T3
S130,2024,Integrated image-based deep learning and language models for primary diabetes care,Nature Medicine,Journal,Diabetes / Ophthalmology / Primary Care,Individualized diabetes management plus diabetic-retinopathy screening/referral,Clinical decision support / multimodal prospective deployment,DeepDR-LLM,MLLM,Open,Both,Prospective primary-care study (397 unassisted PCP; 372 PCP+DeepDR-LLM) plus multiethnic image datasets,Real-world two-arm prospective study plus retrospective/external validation,Yes,NR,NR,Mixed,https://doi.org/10.1038/s41591-024-03139-8,High,Multimodal LLMs,F5,No,No,P5,None,NR,R4,T4
S131,2025,GPT-4 assistance for improvement of physician performance on patient care tasks: a randomized controlled trial,Nature Medicine,Journal,General Clinical Management,Physician management reasoning on complex clinical vignettes,Management reasoning / physician-AI RCT,GPT-4 assistance,Generative LLM,Closed,Private,92 practicing physicians; 5 expert-developed vignettes based on real deidentified encounters,Prospective randomized controlled simulated-clinical study,No,NR,NR,Private,https://doi.org/10.1038/s41591-024-03456-y,High,Generative LLMs,F0,No,No,P0,None,NR,R0,T3
S132,2025,Ambient AI Scribes in Clinical Practice: A Randomized Trial,NEJM AI,Journal,Clinical Documentation / Ambient AI,Ambient generation of clinical documentation during live encounters,Documentation / workflow RCT,Ambient AI scribe,Generative LLM,Closed,Private,Randomized clinical-practice ambient-scribe trial,Randomized clinical workflow trial,No,NR,NR,Private,https://doi.org/10.1056/AIoa2501000,Moderate,Generative LLMs,F1,No,No,P1,None,NR,R5,T4
S133,2025,A Pragmatic Randomized Controlled Trial of Ambient Artificial Intelligence to Improve Health Practitioner Well-Being,NEJM AI,Journal,Clinical Documentation / Ambient AI,Ambient documentation and clinician well-being,Documentation / pragmatic RCT,Ambient AI,Generative LLM,Closed,Private,66 health care practitioners randomized across three 6-week sequences,Pragmatic randomized controlled crossover/sequential trial,No,NR,NR,Private,https://doi.org/10.1056/AIoa2500945,High,Generative LLMs,F1,No,No,P1,None,NR,R5,T4
S134,2025,Use of Ambient AI Scribes to Reduce Administrative Burden and Professional Burnout,JAMA Network Open,Journal,Ambulatory Care / Ambient AI,"Ambient documentation, administrative burden, and clinician burnout",Documentation / multicenter implementation,Abridge ambient AI scribe,Generative LLM,Closed,Private,263 analyzed ambulatory clinicians across 6 US health systems,Multicenter pre-post quality-improvement deployment,No,NR,NR,Private,https://doi.org/10.1001/jamanetworkopen.2025.34976,High,Generative LLMs,F1,No,No,P1,None,NR,R4,T4
S135,2025,Clinician Experiences With Ambient Scribe Technology to Assist With Documentation Burden and Efficiency,JAMA Network Open,Journal,Ambulatory Care / Ambient AI,Ambient documentation efficiency and burden,Documentation / real-world implementation,DAX Copilot,Generative LLM,Closed,Private,46 clinicians across 17 specialties and 22 clinical sites,Prospective pre-post quality-improvement pilot,No,NR,NR,Private,https://doi.org/10.1001/jamanetworkopen.2024.60637,High,Generative LLMs,F1,No,No,P1,None,NR,R4,T4
S136,2026,Physician-Reported Safety Outcomes of AI-Generated Hospital Course Summaries,JAMA Network Open,Journal,Hospital Medicine / Clinical Summarization,Agentic longitudinal hospital-course summarization in active inpatient workflow,Summarization / prospective deployment / safety,MedAgentBrief,Reasoning-Agentic,Closed,Private,"384 discharges; 331 unique patients; 1,274 generated summaries; 11 physicians",Single-arm prospective quality-improvement deployment,No,NR,NR,Private,https://doi.org/10.1001/jamanetworkopen.2026.16556,High,Reasoning / agentic systems,F0,No,Yes,P3,None,Yes,R5,T4
S137,2024,Artificial Intelligence–Generated Draft Replies to Patient Inbox Messages,JAMA Network Open,Journal,Patient Portal / Ambulatory Care,EHR-integrated drafting of patient inbox replies,Patient communication / prospective implementation,GPT-4 draft replies,Generative LLM,Closed,Private,162 clinicians in a 5-week pilot at Stanford Health Care,Prospective single-group quality-improvement deployment,No,NR,NR,Private,https://doi.org/10.1001/jamanetworkopen.2024.3201,High,Generative LLMs,F1,No,No,P1,None,NR,R4,T4
S138,2026,A community-codesigned LLM-powered chatbot for primary care: a randomized controlled trial,Nature Health,Journal,Primary Care / Public Health,Patient-facing primary-care consultation and health-awareness support,Chatbot / randomized controlled trial,P&P Care,Generative LLM,Closed,Private,"2,113 community participants across 11 Chinese provinces",Pragmatic randomized controlled trial,No,NR,NR,Private,https://doi.org/10.1038/s44360-025-00021-w,High,Generative LLMs,F0,No,No,P1,None,NR,R3,T3
S139,2026,Reliability of LLMs as medical assistants for the general public: a randomized preregistered study,Nature Medicine,Journal,Patient-Facing Medical Advice,Public use of LLMs for condition identification and disposition selection,Medical advice / randomized human-AI study,GPT-4o; Llama 3; Command R+,Generative LLM,Mixed,Private,"1,298 participants; 10 medical scenarios",Randomized preregistered controlled human-user study,No,NR,NR,Private,https://doi.org/10.1038/s41591-025-04074-y,High,Generative LLMs,F0,No,No,P0,None,NR,R4,T3
S140,2025,Large Language Model Assistant for Emergency Department Discharge Documentation,JAMA Network Open,Journal,Emergency Medicine / Documentation,LLM-assisted emergency department discharge note drafting,Documentation / comparative effectiveness,On-site LLM assistant,Generative LLM,NR,Private,"50 ED cases; 300 manual notes, 300 LLM drafts, 300 LLM-assisted notes",In-silico comparative effectiveness study with emergency-physician editing,No,NR,NR,Private,https://doi.org/10.1001/jamanetworkopen.2025.38427,High,Generative LLMs,F0,No,No,P1,None,NR,R4,T1
S141,2025,Evaluating Hospital Course Summarization by an Electronic Health Record–Based Large Language Model,JAMA Network Open,Journal,Hospital Medicine / Clinical Summarization,EHR-based hospital-course generation and physician editing,Summarization / clinician evaluation,EHR-embedded hospital-course tool,Generative LLM,Closed,Private,100 general-medicine admissions; 10 resident editors; 8 hospitalist evaluators,Quality-improvement comparative evaluation,No,NR,NR,Private,https://doi.org/10.1001/jamanetworkopen.2025.26339,High,Generative LLMs,F0,No,No,P3,None,NR,R4,T1
S142,2025,Physician- and Large Language Model–Generated Hospital Discharge Summaries,JAMA Internal Medicine,Journal,Hospital Medicine / Clinical Summarization,LLM-generated discharge summaries compared with physician summaries,Summarization / blinded clinician evaluation,GPT-4 Turbo discharge summarizer,Generative LLM,Closed,Private,100 inpatient encounters; 22 attending-physician reviewers,Cross-sectional blinded comparative evaluation,No,NR,NR,Private,https://doi.org/10.1001/jamainternmed.2025.0821,High,Generative LLMs,F0,No,No,P3,None,NR,R4,T1
S143,2026,Large Language Model Chatbot Conversations vs Public Health Materials and Parental HPV Vaccination Intentions: A Randomized Clinical Trial,JAMA Network Open,Journal,Public Health / Vaccine Communication,LLM chatbot communication intended to increase HPV vaccination intention,Patient communication / randomized clinical trial,GPT-4o chatbot,Generative LLM,Closed,Private,"1,297 parents across US, Canada, and UK",Online randomized clinical trial with 15- and 45-day follow-up,Yes,NR,NR,Private,https://doi.org/10.1001/jamanetworkopen.2026.16822,High,Generative LLMs,F0,No,No,P1,None,NR,R3,T3
S144,2022,ClinicalT5: A Generative Language Model for Clinical Text,Findings of the Association for Computational Linguistics: EMNLP 2022,Conference,EHR / clinical NLP,Clinical text generation and multi-task clinical NLP,Generative clinical NLP / benchmark evaluation,ClinicalT5,Generative LLM,Open,Mixed,Multiple clinical NLP datasets / clinical notes,Benchmark model-development study,Yes,Yes,Yes,Mixed,https://doi.org/10.18653/v1/2022.findings-emnlp.398,High,Generative LLMs,F0,No,No,No,P0,None explicitly,No,NR
S145,2023,A study of generative large language model for medical research and healthcare,npj Digital Medicine,Journal,EHR / clinical NLP,"Biomedical relation extraction, question answering, and synthetic clinical-text evaluation",Generative biomedical/clinical NLP,GatorTronGPT,Generative LLM,Open,Mixed,Large-scale clinical text + biomedical/general corpora; downstream NLP benchmarks,Foundation-model development and benchmark evaluation,Yes,Yes,Yes,Mixed,https://doi.org/10.1038/s41746-023-00958-w,High,Generative LLMs,F0,No,No,No,P0,None explicitly,No,NR
